Signif,Code
0,0
6,20
0,0
0,0
0,0
1,5
789,0.2
0,0
789,0.2
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
7,2
0,0
7,2
0,0
9,0.5
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
9,0.5
8,1
0,0
0,0
0,0
0,0
8,1
789,0.2
0,0
0,0
789,0.2
789,0.2
9,0.5
0,0
0,0
8,1
0,0
0,0
789,0.2
8,1
789,0.2
0,0
789,0.2
5,10
0,0
0,0
1,5
0,0
9,0.5
0,0
0,0
8,1
0,0
0,0
5,10
7,2
0,0
0,0
0,0
0,0
7,2
6,3
0,0
0,0
0,0
0,0
9,0.5
7,2
0,0
789,0.2
0,0
0,0
8,1
1,5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
7,2
0,0
8,1
0,0
0,0
0,0
789,0.2
789,0.2
2,15
0,0
7,2
7,2
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
8,1
789,0.2
0,0
0,0
7,2
6,20
# nouveau vicking
0,0 # etape 4
0,0
0,0
0,0
0,0
5,10
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
9,0.5
6,3
789,0.2
0,0
0,0
0,0
0,0
9,0.5
8,1
0,0
8,1
0,0
0,0
0,0
0,0
789,0.2
6,2
0,0
0,0
0,0
0,0
0,0
3,40
789,0.2 # etape 5
8,1
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
7,2
6,3
7,2
7,2
0,0
0,0
2,15
0,0
0,0
7,2
8,1
0,0
0,0
0,0
789,0.2
0,0
0,0
9,0.5
789,0.2
0,0
9,0.5
789,0.2
0,0
0,0
8,1
789,0.2
0,0
0,0
0,0
0,0
0,0
9,0.5
9,0.5
789,0.2
0,0
789,0.2
0,0
789,0.2
0,0
0,0
9,0.5
6,5
0,0
9,0.5
0,0
3,40
8,1 # etape 6
789,0.2
0,0
0,0
0,0
0,0
0,0
8,1
0,0
0,0
0,0
0,0
7,2
789,0.2
0,0
8,1
9,0.5
6,3
0,0
0,0
789,0.2
9,0.5
1,5
0,0
6,5
0,0
9,0.5
9,0.5
789,0.2
0,0
9,0.5
789,0.2
0,0
789,0.2
0,0
0,0
9,0.5
0,0
0,0
0,0
0,0
1,5
8,1
0,0
0,0
8,1
7,2
9,0.5
0,0
789,0.2
0,0
9,0.5
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
8,1
0,0
6,3
789,0.2
0,0
9,0.5
789,0.2
0,0
0,0
0,0
0,0
8,1
0,0
0,0
789,0.2
0,0
7,2
0,0
0,0
9,0.5
0,0
0,0
0,0
0,0
0,0
7,2
0,0
0,0
6,50
0,0
0,0
0,0
5,10
789,0.2
789,0.2
0,0
0,0
0,0
7,2
789,0.2
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
5,10
9,0.5
0,0
789,0.2
789,0.2
0,0
789,0.2
0,0
9,0.5
0,0
0,0
6,5
7,2
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
789,0.2
0,0
1,5
0,0
0,0
9,0.5
0,0
0,0
789,0.2
6,3
789,0.2
0,0
0,0
789,0.2
0,0
789,0.2
789,0.2
0,0
0,0
0,0
0,0
9,0.5
0,0
0,0
8,1
0,0
0,0
9,0.5
789,0.2
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
2,15
0,0
789,0.2
0,0
0,0
7,2
7,2
0,0
0,0
0,0
0,0
0,0
7,2
0,0
9,0.5
0,0
0,0
0,0
0,0
0,0
6,25
# debut vicking suivant
0,0
0,0
0,0
789,0.2
0,0
789,0.2
7,2
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
8,1
789,0.2
0,0
1,5
0,0
8,1
789,0.2
789,0.2
0,0
0,0
6,3
0,0
789,0.2
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
1,5
0,0
0,0
0,0
0,0
8,1
5,10
7,2
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
7,2
0,0
0,0
0,0
0,0
7,2
6,5
789,0.2
0,0
789,0.2
9,0.5
0,0
0,0
0,0
0,0
0,0
9,0.5
9,0.5
0,0
6,5
9,0.5
0,0
789,0.2
0,0
0,0
789,0.2
0,0
789,0.2
0,0
9,0.5
9,0.5
0,0
0,0
0,0
8,1
0,0
0,0
1,5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9,0.5
0,0
9,0.5
0,0
9,0.5
0,0
0,0
0,0
7,2
789,0.2
0,0
9,0.5
0,0
0,0
0,0
0,0
0,0
9,0.5
789,0.2
0,0
0,0
0,0
0,0
789,0.2
9,0.5
0,0
0,0
0,0
7,2
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
9,0.5
5,10
0,0
0,0
0,0
0,0
0,0
0,0
8,1
0,0
789,0.2
0,0
8,1
7,2
0,0
6,3
0,0
789,0.2
0,0
0,0
8,1
789,0.2
9,0.5
0,0
0,0
0,0
8,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6,20
# etap 2
1,5
0,0
0,0
9,0.5
0,0
0,0
789,0.2
0,0
0,0
0,0
7,2
8,1
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
7,2
789,0.2
8,1
0,0
0,0
9,0.5
9,0.5
9,0.5
6,3
0,0
0,0
0,0
1,5
9,0.5
0,0
0,0
9,0.5
0,0
0,0
789,0.2
789,0.2
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
789,0.2
0,0
6,2
0,0
0,0
8,1
0,0
9,0.5
0,0
0,0
789,0.2
789,0.2
0,0
7,2
0,0
0,0
8,1
0,0
0,0
0,0
0,0
8,1
7,2
9,0.5
0,0
789,0.2
0,0
0,0
0,0
0,0
7,2
0,0
0,0
0,0
0,0
0,0
7,2
0,0
0,0
0,0
1,5
0,0
8,1
0,0
0,0
0,0
0,0
0,0
789,0.2
9,0.5
9,0.5
0,0
0,0
8,1
8,1
8,1
1,5
9,0.5
0,0
0,0
789,0.2
0,0
0,0
789,0.2
0,0
8,1
0,0
0,0
0,0
789,0.2
0,0
6,10
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
6,2
0,0
0,0
789,0.2
9,0.5
0,0
0,0
0,0
0,0
0,0
8,1
9,0.5
0,0
0,0
0,0
0,0
8,1
0,0
0,0
0,0
0,0
8,1
7,2
0,0
6,5
7,2
0,0
0,0
0,0
9,0.5
1,5
9,0.5
0,0
0,0
6,20
#etape 3
0,0
0,0
0,0
0,0
0,0
0,0
9,0.5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9,0.5
0,0
9,0.5
0,0
0,0
0,0
5,10
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
2,15
0,0
789,0.2
0,0
0,0
0,0
6,NA
0,0
0,0
0,0
8,1
0,0
9,0.5
0,0
0,0
7,2
0,0
0,0
9,0.5
0,0
0,0
0,0
7,2
8,1
0,0
0,0
6,NA
789,0.2
0,0
0,0
1,5
0,0
0,0
789,0.2
0,0
0,0
789,0.2
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
8,1
789,0.2
9,0.5
789,0.2
9,0.5
7,2
0,0
1,5
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
6,NA
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6,NA
0,0
8,1
0,0
0,0
789,0.2
9,0.5
8,1
0,0
789,0.2
8,1
0,0
8,1
0,0
789,0.2
0,0
0,0
789,0.2
6,NA
0,0
0,0
0,0
0,0
7,2
9,0.5
9,0.5
789,0.2
9,0.5
0,0
0,0
0,0
0,0
789,0.2
0,0
789,0.2
0,0
4,20
1,5
0,0
0,0
6,NA
0,0
789,0.2
7,2
0,0
0,0
0,0
789,0.2
7,2
0,0
1,5
789,0.2
0,0
789,0.2
2,15
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
9,0.5
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
789,0.2
6,NA
9,0.5
0,0
0,0
0,0
789,0.2
8,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
8,1
789,0.2
0,0
0,0
0,0
0,0
789,0.2
0,0
1,5
0,0
789,0.2
0,0
0,0
0,0
9,0.5
0,0
789,0.2
8,1
0,0
0,0
0,0
8,1
789,0.2
0,0
9,0.5
0,0
8,1
1,5
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
8,1
8,1
9,0.5
789,0.2
0,0
9,0.5
0,0
0,0
789,0.2
7,2
0,0
0,0
0,10
#etape last
0,0
9,0.5
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
5,10
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9,0.5
0,0
0,0
0,0
789,0.2
0,0
789,0.2
6,5
5,10
789,0.2
0,0
789,0.2
8,1
789,0.2
0,0
0,0
0,0
0,0
1,5
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
9,0.5
6,25
0,0
789,0.2
0,0
0,0
0,0
9,0.5
0,0
0,0
6,2
1,5
0,0
0,0
0,0
6,5
0,0
0,0
8,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
7,2
789,0.2
0,0
0,0
0,0
0,0
7,2
6,3
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
789,0.2
0,0
6,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
6,3
0,0
789,0.2
789,0.2
8,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
8,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
7,2
6,10
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
6,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9,0.5
0,0
789,0.2
0,0
7,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
6,2
0,0
0,0
0,0
7,2
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
8,1
8,1
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
9,0.5
0,0
0,0
0,0
0,0
0,0
7,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9,0.5
0,0
9,0.5
6,5
0,0
0,0
0,0
0,0
0,0
1,5
0,0
789,0.2
0,0
0,0
1,5
9,0.5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
789,0.2
789,0.2
0,0
0,0
0,0
6,5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6,3
# debut new viking
0,0 #etape1
0,0
8,1
0,0
0,0
5,10 # etape2
9,0.5 # etape3
0,0
0,0
0,0
6,5
0,0 # etape4
0,0
0,0
0,0
1,5
0,0
9,0.5
789,0.2
789,0.2
789,0.2
7,2
2,15
0,0 #etape5
9,0.5
789,0.2
0,0
0,0
0,0
0,0
8,1
0,0
0,0
9,0.5
8,1
0,0
0,0
0,0
0,0
8,1
0,0
0,0
0,0
7,2
6,5
789,0.2
7,2
789,0.2 #etape6 = gold
0,0
789,0.2
0,0
9,0.5
4,20
0,0
0,0
8,1
789,0.2
0,0
0,0
9,0.5
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
789,0.2
0,0
7,2
0,0
0,0
789,0.2
0,0
7,2
0,0
0,0
0,0
6,3
0,0 # etape 7
7,2
8,1
789,0.2
9,0.5
0,0
0,0
789,0.2
9,0.5
0,0
0,0
9,0.5
6,3
0,0
789,0.2
789,0.2
0,0
0,0
0,0
7,2
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
8,1
1,5
6,2
0,0
7,2
789,0.2
8,1
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
789,0.2
0,0
7,2
0,0
789,0.2
9,0.5
0,0
7,2
7,2
0,0 # etape8
0,0
0,0
789,0.2
6,5
0,0
5,10
0,0
0,0
0,0
0,0
0,0
8,1
0,0
1,5
789,0.2
0,0
0,0
0,0
0,0
9,0.5
789,0.2
0,0
0,0
0,0
8,1
0,0
789,0.2
6,2
0,0
0,0
0,0
0,0
0,0
789,0.2
9,0.5
789,0.2
0,0
0,0
789,0.2
2,15 #etape,9
0,0
9,0.5
789,0.2
0,0
789,0.2
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
8,1
789,0.2
0,0
0,0
0,0
2,15
0,0
0,0
0,0
9,0.5
0,0
0,0
789,0.2
0,0
0,0
8,1
0,0
0,0
0,0
1,5
789,0.2
7,2
0,0 #etape,10
6,2
0,0
0,0
9,0.5
8,1
0,0
0,0
0,0
0,0
0,0
7,2
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
9,0.5
0,0
0,0
0,0
0,0
0,0
0,0
9,0.5
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
789,0.2
0,0
8,1
0,0
0,0
7,2
789,0.2
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
6,2
0,0
1,5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
8,1
0,0
0,0
0,0
0,0
0,0
6,3
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
9,0.5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6,5
0,0
9,0.5
0,0
0,0
0,0
0,0
9,0.5
0,0
0,0
0,0
5,10
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
789,0.2
0,0
8,1
789,0.2
0,0
0,0
0,0
7,2
789,0.2
9,0.5
9,0.5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
9,0.5
0,0
0,0
9,0.5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
1,5
0,0
0,0
0,0
0,0
6,5
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,2
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
8,1
0,0
789,0.2
789,0.2
0,0
1,5
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,2
0,0
8,1
5,10
0,0
7,2
0,0
0,0
6,5 # end
# ajout le 17/03/2021
0,0# etape 1
0,0
0,0
0,0
1,5
9,0.5# etape 2
5,10
0,0# etape 3
8,1
6,2
0,0# etape 4
789,0.2
9,0.5
8,1
7,2
789,0.2
8,1
0,0
789,0.2
0,0
8,1
0,0
0,0
9,0.5
8,1
1,5
0,0
0,0
6,5
0,0# etape 5
0,0
0,0
0,0
0,0
0,0
7,2
0,0
1,5
0,0
789,0.2
9,0.5
0,0
7,2
0,0
9,0.5
8,1
0,0
7,2
789,0.2
0,0
0,0
0,0
0,0
0,0
6,10
789,0.2# etape 6
0,0
8,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6,5
0,0# etape 7
8,1
9,0.5
0,0
0,0
9,0.5
0,0
8,1
0,0
0,0
8,1
0,0
0,0
0,0
0,0
789,0.2
9,0.5
6,2
7,2
9,0.5
0,0
0,0
789,0.2
0,0
9,0.5
0,0
0,0
0,0
789,0.2
2,15
0,0
0,0
0,0
9,0.5
0,0
9,0.5
0,0
789,0.2
7,2
9,0.5# etape 8
0,0
0,0
0,0
0,0
0,0
7,2
9,0.5
8,1
0,0
0,0
9,0.5
789,0.2
0,0
9,0.5
789,0.2
0,0
0,0
9,0.5
789,0.2
2,15
789,0.2
0,0
0,0
0,0
0,0
0,0
9,0.5
0,0
789,0.2
789,0.2
0,0
9,0.5
0,0
6,3
0,0
8,1
0,0
0,0
789,0.2
789,0.2
0,0
0,0
0,0
0,0
0,0
789,0.2
8,1
0,0# etape 9
0,0
789,0.2
9,0.5
6,5
9,0.5
8,1
0,0
0,0
4,20
789,0.2
789,0.2
9,0.5
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
6,2
0,0
9,0.5
0,0
789,0.2
8,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9,0.5
0,0
0,0
789,0.2
0,0
789,0.2
9,0.5
789,0.2
0,0
0,0
789,0.2
0,0
0,0
0,0
6,5
0,0
789,0.2
0,0
0,0
0,0
0,0
9,0.5
0,0
0,0
0,0
9,0.5
0,0
789,0.2
7,2
0,0# etape 10
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9,0.5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9,0.5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9,0.5
0,0
0,0
8,1
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9,0.5
6,3
0,0
0,0
0,0
9,0.5
0,0
789,0.2
7,2
0,0
0,0
0,0
0,0
6,3
789,0.2
0,0
9,0.5
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
9,0.5
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
8,1
0,0
0,0
789,0.2
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
9,0.5
0,0
0,0
0,0
0,0
0,0
0,0
7,2
0,0
0,0
0,0
0,0
6,5
789,0.2
0,0
0,0
0,0
0,0
2,15
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
6,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
789,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5,10
0,0
0,0
0,0
6,5





